BadName;Prob_Datum;Escherichia coli<br> (KBE/ 100 ml);Intestinale Enterokokken<br> (KBE/ 100 ml);Coliforme Bakterien <br>(KBE/ 100 ml);Sichttiefe <br> (m);Cyanobakterien Chl a <br>(µg/ l);Wassertemperatur <br> (°C);Aktuelle Warnhinweise;Weitere Informationen;Farbe
Sandhauser Straße;27.04.2026;<15;<15;<300;1,3;0,1;12,9;keine;keine;gruen
Bürgerablage;27.04.2026;<15;<15;<300;1,4;0,3;13;keine;keine;gruen
Tegeler See, Strandbad;27.04.2026;<15;15;<300;n.a.;0;13,1;keine;Wasserpflanzenansammlungen am Ufer meiden – können toxinbildende Blaualgen anhaften!;gruen
Tegeler See, gegenüber Scharfenberg;27.04.2026;<15;15;<300;2;0;13;keine;Wasserpflanzenansammlungen am Ufer meiden – können toxinbildende Blaualgen anhaften!;gruen
Tegeler See, gegenüber Reiswerder;27.04.2026;<15;<15;<300;1,3;0;12,6;keine;Wasserpflanzenansammlungen am Ufer meiden – können toxinbildende Blaualgen anhaften!;gruen
Tegeler See, Saatwinkel;27.04.2026;<15;<15;<300;> 1;0,9;13;keine;Wasserpflanzenansammlungen am Ufer meiden – können toxinbildende Blaualgen anhaften!;gruen
Tegeler See, Reiherwerder;27.04.2026;<15;<15;<300;> 1;0;12,7;keine;Wasserpflanzenansammlungen am Ufer meiden – können toxinbildende Blaualgen anhaften!;gruen
Kleine Badewiese;28.04.2026;30;15;360;1,6;0;13,2;keine;Blaualgenmassenentwicklungen im Hoch- und Spätsommer möglich;gruen_pognose
Grunewaldturm;28.04.2026;<15;15;<300;2;0;12,8;keine;Blaualgenmassenentwicklungen im Hoch- und Spätsommer möglich;gruen_pognose
Lieper Bucht;28.04.2026;15;<15;<300;2,4;0;12,4;keine;Blaualgenmassenentwicklungen im Hoch- und Spätsommer möglich;gruen_pognose
Breitehorn;28.04.2026;<15;<15;360;1,9;0;13;keine;keine;gruen_pognose
Große Steinlanke;28.04.2026;15;<15;<300;2,6;0;12,6;keine;keine;gruen
Alter Hof;28.04.2026;<15;<15;360;2,9;0;12,7;keine;keine;gruen
