BadName;Bezirk;Profil;RSS_Name;Latitude;Longitude;ProfilLink;BadestelleLink;Dat;Sicht;Eco;Ente;Farbe;BSL;Algen;Wasserqualitaet;cb;Temp;PDFLink;PrognoseLink;Farb_ID;Bemerkung;Weitere_Hinweise;Wasserqualitaet_predict;Dat_predict;FARB_ID;Wasserqualitaet_lageso;p2_5;p50;p90;p95;p97_5;classification
Alter Hof;Steglitz-Zehlendorf;Unterhavel;Alter Hof / Havel;52,432705;13,142278;"""Unterhavel - Alter Hof(Link zum Badegewässerprofil Unterhavel Alter Hof)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339134.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344360.php;09.07.2026;1,5;77;30;gruen.jpg;B334;;1;2300;20,9;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad29.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Bammelecke;Treptow-Köpenick;Dahme;Bammelecke;52,407498;13,622537;"""Dahme - Bammelecke(Link zum Badegewässerprofil Bammelecke)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339118.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344320.php;07.07.2026;0,8;<15;<15;gruen.jpg;B225;;1;<300;20,9;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad1.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Breitehorn;Spandau;Unterhavel;Breitehorn / Havel;52,465753;13,179797;"""Unterhavel - Breitehorn(Link zum Badegewässerprofil Unterhavel Breithorn)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339130.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344350.php;09.07.2026;> 1;<15;15;gruen_prog.jpg;B332;;11;<300;20,6;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad30.pdf";"""Erklärung zum Frühwarnsystem(Link zur Erklärung zum Frühwarnsystem)"":http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/fruehwarnsystem-unterhavel/index.php";11;keine;Blaualgenmassenentwicklungen im Hoch- und Spätsommer möglich;ausgezeichnet;2026-07-19;11;11;0,582654846418401;1,1538124349067167;1,5272723083908974;1,6331429932211994;1,7249700233950322;ausgezeichnet
Bürgerablage;Spandau;Oberhavel;Bürgerablage / Havel;52,584988;13,211244;"""Oberhavel - Bürgerablage(Link zum Badegewässerprofil Bürgerablage)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339123.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344337.php;13.07.2026;0,8;15;<15;gruen.jpg;B304;;1;<300;23,4;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad16.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Dämeritzsee;Treptow-Köpenick;Großer Müggelsee;Dämeritzsee;52,42692;13,735113;"""Großer Müggelsee - Dämeritzsee(Link zum Badegewässerprofil Dämeritzsee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339107.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344321.php;07.07.2026;0,6;<15;<15;gruen.jpg;B105;;1;<300;20,2;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad2.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Flughafensee;Reinickendorf;Flughafensee;Flughafensee;52,569786;13,284889;"""Flughafensee - Flughafensee(Link zum Badegewässerprofil Flughafensee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339146.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344334.php;08.07.2026;> 1;61;<15;gruen.jpg;B920;;1;360;21,2;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad3.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Friedrichshagen, Strandbad;Treptow-Köpenick;Großer Müggelsee;Strandbad Friedrichshagen;52,445836;13,630692;"""Seebad Friedrichshagen(Link zum Badegewässerprofil Seebad Friedrichshagen)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339113.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344322.php;07.07.2026;1,2;15;<15;gruen.jpg;B118;;1;<300;20,1;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad4.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Gartenstraße, Flussbad;Treptow-Köpenick;Dahme;Flussbad Gartenstraße;52,44094;13,575727;"""Dahme - Flussbad Gartenstraße(Link zum Badegewässerprofil Flußbad Gartenstraße)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339121.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344323.php;07.07.2026;1;15;<15;gruen.jpg;B230;;1;<300;20,8;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad5.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Groß Glienicker See, nördlich;Spandau;Groß Glienicker See;Groß Glienicker See, nördlich;52,471755;13,118568;"""Groß Glienicker See - Groß Glienicker See, nördlich(Link zum Groß Glienicker See nördlich)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339153.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344340.php;09.07.2026;> 1;<15;<15;gruen.jpg;B961;;1;<300;20,2;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad6.pdf";;1;;Vermehrt Blaualgen vorhanden. Die gemessenen Blaualgen-Toxinkonzentrationen liegen weit unter den UBA-Leitwerten.;nicht zutreffend;;1;1;;;;;;
Groß Glienicker See, südlich;Spandau;Groß Glienicker See;Groß Glienicker See, südlich;52,460362;13,114633;"""Groß Glienicker See - Groß Glienicker See, südlich(Link zum Groß Glienicker See südlich)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339154.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344338.php;09.07.2026;> 1;<15;<15;gruen.jpg;B962;;1;<300;20,1;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad7.pdf";;1;keine;Vermehrt Blaualgen vorhanden. Die gemessenen Blaualgen-Toxinkonzentrationen liegen weit unter den UBA-Leitwerten.;nicht zutreffend;;1;1;;;;;;
Große Krampe;Treptow-Köpenick;Dahme;Große Krampe;52,389494;13,65238;"""Dahme - Große Krampe(Link zum Badegewässerprofil Große Krampe)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339117.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344326.php;07.07.2026;0,7;<15;<15;gruen.jpg;B224;;1;<300;21,1;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad8.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Große Steinlanke;Steglitz-Zehlendorf;Unterhavel;Große Steinlanke / Havel;52,450773;13,190224;"""Unterhavel - Große Steinlanke(Link zum Badegewässerprofil Unterhavel Steinlanke)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339133.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344362.php;17.06.2026;1,5;<15;<15;gruen.jpg;B333;;1;<300;19,8;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad31.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Grünau, Strandbad;Treptow-Köpenick;Dahme;Strandbad Grünau;52,408983;13,607215;"""Dahme - Freibad Grünau(Link zum Badegewässerprofil Freibad Grünau)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339119.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344325.php;07.07.2026;1;<15;15;gruen.jpg;B226;;1;<300;20,8;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad9.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
