bnr,name,bemerkung
4,"Joachimsthal, Feriendorf, Grimnitzsee","Auftreten von Badedermatitis durch Zerkarien (Juckreiz, Hautausschlag), Hinweise an der Badestelle beachten!"
5,"Joachimsthal, Liegewiese, Grimnitzsee","Auftreten von Badedermatitis durch Zerkarien (Juckreiz, Hautausschlag), Hinweise an der Badestelle beachten!"
19,"Massowburg, Beetzsee","Aufgrund der geringen Sichttiefe können Rettungsmaßnahmen deutlich erschwert sein."
22,"Brandenburg an der Havel OT Kirchmöser, Arke, Möserscher See","Aufgrund der geringen Sichttiefe können Rettungsmaßnahmen deutlich erschwert sein."
23,"Camping- und Ferienpark am Plauer See, Plauer See","Aufgrund der geringen Sichttiefe können Rettungsmaßnahmen deutlich erschwert sein."
90,"Bad Saarow, Strandbad Mitte, Scharmützelsee","Änderung am Badegewässer - Bewirtschaftungsmaßnahmen"
97,"Niewisch, Schwielochsee","Aufgrund der geringen Sichttiefe können Rettungsmaßnahmen deutlich erschwert sein. Gefahr der Blaualgenmassenentwicklung, bitte die Hinweise vor Ort beachten!"
106,"Limsdorf, Grubensee","Badestelle befindet sich im Naturschutzgebiet, Verhaltensregeln beachten!"
118,"Alt Zeschdorf, Hohenjesarscher See","Empfehlung - nicht baden! Gefahr der Blaualgenmassenentwicklung, bitte die Hinweise vor Ort beachten!"
129,"Diedersdorf, Weinbergsee","Mögliche Algenentwicklung, bitte die Hinweise vor Ort beachten!"
136,"Gransee OT Seilershof, Kleiner Wentowsee","Aufgrund der geringen Sichttiefe können Rettungsmaßnahmen deutlich erschwert sein."
149,"Tier- und Freizeitpark Oranienburg OT Germendorf, Waldsee","Aufgrund der geringen Sichttiefe können Rettungsmaßnahmen deutlich erschwert sein."
154,"Kleinzerlang, Großer Prebelowsee","Badesteganlage für Nutzung vom Betreiber gesperrt!"
191,"Tauer, Großsee","Steilstrand = Baden nur für Schwimmer"
207,"Kallinchen, Campingplatz, Motzener See","Keine öffentliche Badestelle, nur für Campingplatzgäste!"
210,"Rangsdorf, Strand am Rangsdorfer See, Rangsdorfer See","Aufgrund der geringen Sichttiefe können Rettungsmaßnahmen deutlich erschwert sein."
266,"Grillendamm, Beetzsee","Aufgrund der geringen Sichttiefe können Rettungsmaßnahmen deutlich erschwert sein."
275,"An der Badewiese, Groß Glienicker See","Gefahr einer Algen- und Blaualgenmassenentwicklung, bitte eigenverantwortlich handeln!"
280,"Flussbadestelle Schwedt/Oder, Hohensaaten-Friedrichsthaler Wasserstraße","Änderung am Badegewässer - Bewirtschaftungsmaßnahmen"
283,"Zehdenick OT Zabelsdorf, Großer Wentowsee","Aufgrund der geringen Sichttiefe können Rettungsmaßnahmen deutlich erschwert sein."
