bnr,name,datum,ecoli,entero,temp_c,sicht_m
1,"Ruhlsdorf, Strand, Bernsteinsee",2026-05-05,15.0,15.0,17.4,2.5
1,"Ruhlsdorf, Strand, Bernsteinsee",2026-06-02,15.0,15.0,21.7,2.0
1,"Ruhlsdorf, Strand, Bernsteinsee",2026-06-30,61.0,15.0,26.5,3.0
2,"Tiefensee, Waldkiez Tiefensee, Gamensee",2026-05-06,15.0,46.0,15.9,2.0
2,"Tiefensee, Waldkiez Tiefensee, Gamensee",2026-06-04,15.0,15.0,20.7,2.0
2,"Tiefensee, Waldkiez Tiefensee, Gamensee",2026-07-02,61.0,15.0,24.6,2.0
3,"Schönwalde, Badewiese am Campingplatz, Gorinsee",2026-05-05,15.0,15.0,19.7,1.5
3,"Schönwalde, Badewiese am Campingplatz, Gorinsee",2026-06-02,15.0,15.0,24.1,1.5
3,"Schönwalde, Badewiese am Campingplatz, Gorinsee",2026-06-30,15.0,15.0,28.8,1.5
4,"Joachimsthal, Feriendorf, Grimnitzsee",2026-05-04,15.0,15.0,16.7,3.0
4,"Joachimsthal, Feriendorf, Grimnitzsee",2026-06-01,15.0,15.0,20.7,2.0
4,"Joachimsthal, Feriendorf, Grimnitzsee",2026-06-29,15.0,15.0,27.8,2.0
5,"Joachimsthal, Liegewiese, Grimnitzsee",2026-05-04,15.0,15.0,15.8,2.5
5,"Joachimsthal, Liegewiese, Grimnitzsee",2026-06-01,15.0,15.0,,2.0
5,"Joachimsthal, Liegewiese, Grimnitzsee",2026-06-29,15.0,15.0,27.3,2.0
6,"Biesenthal, Strandbad, Großer Wukensee",2026-05-05,30.0,15.0,18.3,4.0
6,"Biesenthal, Strandbad, Großer Wukensee",2026-06-02,77.0,15.0,22.2,4.5
6,"Biesenthal, Strandbad, Großer Wukensee",2026-06-30,179.0,15.0,26.9,3.8
7,"Lanke, Waldbad, Liepnitzsee",2026-05-05,15.0,15.0,16.5,3.0
7,"Lanke, Waldbad, Liepnitzsee",2026-06-02,46.0,15.0,21.9,4.0
7,"Lanke, Waldbad, Liepnitzsee",2026-06-30,347.0,15.0,26.8,5.0
8,"Lanke, Badewiese, Obersee",2026-05-05,15.0,15.0,18.0,3.7
8,"Lanke, Badewiese, Obersee",2026-06-02,15.0,15.0,21.4,3.0
8,"Lanke, Badewiese, Obersee",2026-06-30,110.0,15.0,26.8,2.0
9,"Brodowin/Pehlitz, Campingplatz ""Pehlitz/Werder"", Parsteiner See",2026-05-06,15.0,15.0,15.9,2.5
9,"Brodowin/Pehlitz, Campingplatz ""Pehlitz/Werder"", Parsteiner See",2026-06-04,15.0,15.0,21.0,4.0
9,"Brodowin/Pehlitz, Campingplatz ""Pehlitz/Werder"", Parsteiner See",2026-07-02,15.0,15.0,25.4,4.0
10,"Parstein, Campingplatz ""Am Parsteiner See"", Parsteiner See",2026-05-06,15.0,15.0,15.0,3.0
10,"Parstein, Campingplatz ""Am Parsteiner See"", Parsteiner See",2026-06-04,15.0,15.0,20.7,4.0
10,"Parstein, Campingplatz ""Am Parsteiner See"", Parsteiner See",2026-07-02,77.0,127.0,25.0,4.0
11,"Stolzenhagen, Strandbad, Stolzenhagener See",2026-05-05,15.0,15.0,17.1,3.0
11,"Stolzenhagen, Strandbad, Stolzenhagener See",2026-06-02,15.0,15.0,21.7,3.0
11,"Stolzenhagen, Strandbad, Stolzenhagener See",2026-06-30,197.0,15.0,28.0,3.0
12,"Finowfurt, Ferienpark ""Üdersee-Camp"", Üdersee",2026-05-04,15.0,15.0,16.2,3.0
12,"Finowfurt, Ferienpark ""Üdersee-Camp"", Üdersee",2026-06-01,15.0,15.0,20.5,3.0
12,"Finowfurt, Ferienpark ""Üdersee-Camp"", Üdersee",2026-06-29,15.0,15.0,27.5,4.0
13,"Wandlitz, Strandbad, Wandlitzsee",2026-05-05,15.0,15.0,16.2,2.1
13,"Wandlitz, Strandbad, Wandlitzsee",2026-06-02,15.0,15.0,22.3,1.5
13,"Wandlitz, Strandbad, Wandlitzsee",2026-06-30,332.0,77.0,26.4,2.5
14,"Eichhorst, BEROLINA Campingparadies am Werbellinsee, Werbellinsee",2026-05-04,15.0,15.0,12.6,3.0
14,"Eichhorst, BEROLINA Campingparadies am Werbellinsee, Werbellinsee",2026-06-01,15.0,15.0,21.3,3.0
14,"Eichhorst, BEROLINA Campingparadies am Werbellinsee, Werbellinsee",2026-06-29,94.0,15.0,26.5,4.0
15,"Joachimsthal, Campingplatz ""Am Spring"", Werbellinsee",2026-05-04,15.0,15.0,12.7,3.0
15,"Joachimsthal, Campingplatz ""Am Spring"", Werbellinsee",2026-06-01,15.0,15.0,19.6,3.0
15,"Joachimsthal, Campingplatz ""Am Spring"", Werbellinsee",2026-06-29,15.0,15.0,26.6,4.0
16,"Joachimsthal, Liegewiese am Stein, Werbellinsee",2026-05-04,15.0,15.0,14.9,3.0
16,"Joachimsthal, Liegewiese am Stein, Werbellinsee",2026-06-29,15.0,15.0,25.0,4.0
17,"Joachimsthal, EJB / seezeit-resort, Werbellinsee",2026-05-04,15.0,15.0,16.0,3.5
17,"Joachimsthal, EJB / seezeit-resort, Werbellinsee",2026-06-01,15.0,15.0,20.8,3.0
17,"Joachimsthal, EJB / seezeit-resort, Werbellinsee",2026-06-29,161.0,15.0,25.8,4.0
18,"Joachimsthal, Holzablage Michen, Werbellinsee",2026-05-04,15.0,15.0,14.4,3.0
18,"Joachimsthal, Holzablage Michen, Werbellinsee",2026-06-01,15.0,15.0,19.9,3.0
18,"Joachimsthal, Holzablage Michen, Werbellinsee",2026-06-29,15.0,15.0,25.5,4.0
19,"Massowburg, Beetzsee",2026-05-04,15.0,144.0,16.3,0.8
19,"Massowburg, Beetzsee",2026-06-01,30.0,77.0,21.2,0.6
19,"Massowburg, Beetzsee",2026-06-29,94.0,61.0,27.4,0.2
20,"Malge, Breitlingsee",2026-05-04,15.0,15.0,17.5,1.0
20,"Malge, Breitlingsee",2026-06-01,15.0,15.0,21.7,0.8
20,"Malge, Breitlingsee",2026-06-29,15.0,15.0,27.5,0.8
21,"Wendseeufer, Großer Wendsee",2026-05-04,15.0,15.0,18.6,1.2
21,"Wendseeufer, Großer Wendsee",2026-06-01,15.0,15.0,21.8,1.0
21,"Wendseeufer, Großer Wendsee",2026-06-29,179.0,61.0,28.5,
22,"Brandenburg an der Havel OT Kirchmöser, Arke, Möserscher See",2026-05-04,61.0,15.0,18.3,1.2
22,"Brandenburg an der Havel OT Kirchmöser, Arke, Möserscher See",2026-06-01,15.0,15.0,21.9,1.0
22,"Brandenburg an der Havel OT Kirchmöser, Arke, Möserscher See",2026-06-29,144.0,15.0,27.7,0.1
23,"Camping- und Ferienpark am Plauer See, Plauer See",2026-05-04,15.0,15.0,17.8,1.4
23,"Camping- und Ferienpark am Plauer See, Plauer See",2026-06-01,110.0,15.0,22.1,1.4
23,"Camping- und Ferienpark am Plauer See, Plauer See",2026-06-29,504.0,15.0,27.7,0.1
24,"Hauptteich, Badesee Bad Erna, Schönborn OT Lindena",2026-05-06,30.0,,18.0,1.5
24,"Hauptteich, Badesee Bad Erna, Schönborn OT Lindena",2026-06-03,15.0,15.0,22.6,2.0
24,"Hauptteich, Badesee Bad Erna, Schönborn OT Lindena",2026-07-01,15.0,15.0,26.0,1.2
25,"Rückersdorf, Hauptstrand, Badesee Rückersdorf",2026-05-06,15.0,30.0,18.0,2.0
25,"Rückersdorf, Hauptstrand, Badesee Rückersdorf",2026-06-03,15.0,15.0,23.0,2.0
25,"Rückersdorf, Hauptstrand, Badesee Rückersdorf",2026-07-01,15.0,61.0,26.1,2.0
26,"Am Rettungsturm, Waldbad Zeischa",2026-05-06,15.0,15.0,17.2,2.0
26,"Am Rettungsturm, Waldbad Zeischa",2026-06-02,15.0,15.0,22.3,2.0
26,"Am Rettungsturm, Waldbad Zeischa",2026-06-30,30.0,15.0,26.6,2.0
27,"Strandbereich Gorden, Grünewalder Lauch",2026-05-06,15.0,15.0,17.1,2.0
27,"Strandbereich Gorden, Grünewalder Lauch",2026-06-03,15.0,15.0,21.6,2.5
27,"Strandbereich Gorden, Grünewalder Lauch",2026-07-01,15.0,15.0,25.0,2.0
28,"Oststrand, Uferbereich, Falkenberg ""Kiebitz""",2026-05-06,30.0,15.0,17.6,3.0
28,"Oststrand, Uferbereich, Falkenberg ""Kiebitz""",2026-06-02,15.0,15.0,22.1,2.0
28,"Oststrand, Uferbereich, Falkenberg ""Kiebitz""",2026-06-30,197.0,30.0,27.2,2.0
31,"Air force Beach, Badesee Brandis",2026-05-06,15.0,15.0,18.1,2.0
31,"Air force Beach, Badesee Brandis",2026-06-02,15.0,15.0,23.4,2.0
31,"Air force Beach, Badesee Brandis",2026-06-30,94.0,30.0,27.7,2.0
35,"Ketzin/Havel, Ketziner Havelstrand, Havel",2026-05-04,15.0,15.0,19.5,1.5
35,"Ketzin/Havel, Ketziner Havelstrand, Havel",2026-06-01,15.0,15.0,22.2,2.0
35,"Ketzin/Havel, Ketziner Havelstrand, Havel",2026-06-29,195.0,15.0,27.3,1.1
36,"Hohennauen, Hohennauener See",2026-05-05,15.0,15.0,17.7,1.2
36,"Hohennauen, Hohennauener See",2026-06-02,15.0,15.0,22.8,1.8
36,"Hohennauen, Hohennauener See",2026-06-30,15.0,15.0,27.3,1.5
37,"Semlin, Bauerndeich, Hohennauener See",2026-05-05,15.0,15.0,18.0,1.2
37,"Semlin, Bauerndeich, Hohennauener See",2026-06-02,30.0,15.0,21.9,1.4
37,"Semlin, Bauerndeich, Hohennauener See",2026-06-30,655.0,15.0,26.2,1.0
38,"Ferchesar, Dranseschlucht, Hohennauener See (Ferchesarer See)",2026-05-05,15.0,15.0,17.9,1.8
38,"Ferchesar, Dranseschlucht, Hohennauener See (Ferchesarer See)",2026-06-02,161.0,591.0,,0.9
38,"Ferchesar, Dranseschlucht, Hohennauener See (Ferchesarer See)",2026-06-30,15.0,15.0,25.9,1.0
39,"Wassersuppe, Hohennauener See",2026-05-05,15.0,15.0,17.7,1.2
39,"Wassersuppe, Hohennauener See",2026-06-02,77.0,15.0,22.9,1.2
39,"Wassersuppe, Hohennauener See",2026-06-30,15.0,15.0,26.7,1.5
